timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.2379751,3,-,-,4294967293,104754,17517815,9
1746869260.4059052,3,-,-,4294967293,5231,600858,3
1746869287.3768058,3,-,-,4294967293,25471,2940101,13
1746869298.09534,3,-,-,4294967293,47070,5391988,23
1746869307.8812902,3,-,-,4294967293,67355,7711478,33
1746869317.9856675,3,-,-,4294967293,87521,9994731,43
1746869328.0560377,3,-,-,4294967293,107186,12230403,53
1746869337.9527826,3,-,-,4294967293,127990,14577130,63
1746869348.6803656,3,2,00:00:00:00:00:42,2,0,0,1
1746869348.6803656,3,-,-,4294967293,148557,16881298,73
1746869359.3230917,3,2,00:00:00:00:00:42,2,0,0,11
1746869359.3230917,3,-,-,4294967293,168776,19174028,83
1746869369.5998242,3,2,00:00:00:00:00:42,2,0,0,21
1746869369.5998242,3,4,00:00:00:00:00:33,1,11,1078,6
1746869369.5998242,3,4,00:00:00:00:00:39,2,0,0,0
1746869369.5998242,3,4,00:00:00:00:00:39,1,0,0,0
1746869369.5998242,3,-,-,4294967293,188835,21428825,93
1746869380.0867896,3,2,00:00:00:00:00:42,2,0,0,31
1746869380.0867896,3,4,00:00:00:00:00:39,1,0,0,8
1746869380.0867896,3,3,00:00:00:00:00:2c,3,0,0,7
1746869380.0867896,3,4,00:00:00:00:00:39,4,0,0,4
1746869380.0867896,3,2,00:00:00:00:00:04,2,6,476,2
1746869380.0867896,3,4,00:00:00:00:00:33,1,21,2058,1
1746869380.0867896,3,2,00:00:00:00:00:3d,4,0,0,1
1746869380.0867896,3,2,00:00:00:00:00:3d,2,5,378,1
1746869380.0867896,3,3,00:00:00:00:00:2c,3,0,0,0
1746869380.0867896,3,-,-,4294967293,208639,23626219,103
1746869390.7575376,3,2,00:00:00:00:00:42,2,0,0,41
1746869390.7575376,3,4,00:00:00:00:00:39,1,0,0,18
1746869390.7575376,3,3,00:00:00:00:00:2c,3,0,0,17
1746869390.7575376,3,4,00:00:00:00:00:39,4,0,0,14
1746869390.7575376,3,2,00:00:00:00:00:04,2,19,1470,12
1746869390.7575376,3,4,00:00:00:00:00:5a,1,0,0,9
1746869390.7575376,3,4,00:00:00:00:00:33,1,31,3038,4
1746869390.7575376,3,2,00:00:00:00:00:3d,1,0,0,3
1746869390.7575376,3,2,00:00:00:00:00:3d,2,24,2072,3
1746869390.7575376,3,4,00:00:00:00:00:36,1,19,1694,2
1746869390.7575376,3,3,00:00:00:00:00:2c,2,0,0,2
1746869390.7575376,3,4,00:00:00:00:00:51,2,0,0,1
1746869390.7575376,3,3,00:00:00:00:00:50,3,0,0,1
1746869390.7575376,3,-,-,4294967293,227974,25749412,113
1746869401.9835277,3,2,00:00:00:00:00:42,2,0,0,51
1746869401.9835277,3,4,00:00:00:00:00:39,1,0,0,28
1746869401.9835277,3,3,00:00:00:00:00:2c,3,0,0,27
1746869401.9835277,3,4,00:00:00:00:00:39,4,0,0,24
1746869401.9835277,3,4,00:00:00:00:00:5a,1,0,0,19
1746869401.9835277,3,4,00:00:00:00:00:33,1,35,3430,14
1746869401.9835277,3,4,00:00:00:00:00:51,2,0,0,11
1746869401.9835277,3,3,00:00:00:00:00:50,3,0,0,11
1746869401.9835277,3,2,00:00:00:00:00:3e,2,0,0,9
1746869401.9835277,3,2,00:00:00:00:00:3d,3,0,0,8
1746869401.9835277,3,2,00:00:00:00:00:1f,1,0,0,7
1746869401.9835277,3,3,00:00:00:00:00:2e,2,0,0,6
1746869401.9835277,3,3,00:00:00:00:00:2e,2,0,0,6
1746869401.9835277,3,3,00:00:00:00:00:14,3,0,0,4
1746869401.9835277,3,2,00:00:00:00:00:3e,4,0,0,4
1746869401.9835277,3,2,00:00:00:00:00:3d,2,38,3220,4
1746869401.9835277,3,3,00:00:00:00:00:3a,4,0,0,3
1746869401.9835277,3,4,00:00:00:00:00:36,3,39,3430,3
1746869401.9835277,3,2,00:00:00:00:00:57,1,0,0,2
1746869401.9835277,3,3,00:00:00:00:00:2c,4,0,0,1
1746869401.9835277,3,2,00:00:00:00:00:57,1,0,0,0
1746869401.9835277,3,2,00:00:00:00:00:04,2,19,1470,0
1746869401.9835277,3,2,00:00:00:00:00:03,2,0,0,0
1746869401.9835277,3,2,00:00:00:00:00:3f,1,3,294,0
1746869401.9835277,3,-,-,4294967293,247111,27840155,123
1746869412.3243008,3,2,00:00:00:00:00:42,2,0,0,61
1746869412.3243008,3,4,00:00:00:00:00:39,1,0,0,38
1746869412.3243008,3,3,00:00:00:00:00:2c,3,0,0,37
1746869412.3243008,3,4,00:00:00:00:00:39,4,0,0,34
1746869412.3243008,3,4,00:00:00:00:00:5a,1,0,0,29
1746869412.3243008,3,4,00:00:00:00:00:33,1,35,3430,24
1746869412.3243008,3,4,00:00:00:00:00:51,2,0,0,21
1746869412.3243008,3,2,00:00:00:00:00:3e,2,0,0,19
1746869412.3243008,3,2,00:00:00:00:00:3d,3,0,0,18
1746869412.3243008,3,2,00:00:00:00:00:1f,1,0,0,17
1746869412.3243008,3,3,00:00:00:00:00:2e,2,0,0,16
1746869412.3243008,3,3,00:00:00:00:00:2e,2,0,0,16
1746869412.3243008,3,2,00:00:00:00:00:3e,4,0,0,14
1746869412.3243008,3,2,00:00:00:00:00:3d,2,48,4200,14
1746869412.3243008,3,2,00:00:00:00:00:04,2,19,1470,10
1746869412.3243008,3,2,00:00:00:00:00:03,4,0,0,9
1746869412.3243008,3,3,00:00:00:00:00:2c,3,2,84,8
1746869412.3243008,3,4,00:00:00:00:00:16,1,0,0,7
1746869412.3243008,3,2,00:00:00:00:00:57,2,0,0,7
1746869412.3243008,3,2,00:00:00:00:00:21,2,0,0,6
1746869412.3243008,3,2,00:00:00:00:00:01,2,0,0,5
1746869412.3243008,3,3,00:00:00:00:00:4b,4,0,0,5
1746869412.3243008,3,3,00:00:00:00:00:56,3,0,0,4
1746869412.3243008,3,2,00:00:00:00:00:53,2,0,0,3
1746869412.3243008,3,2,00:00:00:00:00:53,2,5,490,3
1746869412.3243008,3,4,00:00:00:00:00:17,4,0,0,3
1746869412.3243008,3,3,00:00:00:00:00:0a,3,0,0,3
1746869412.3243008,3,3,00:00:00:00:00:4b,1,0,0,3
1746869412.3243008,3,2,00:00:00:00:00:3a,4,0,0,2
1746869412.3243008,3,2,00:00:00:00:00:09,2,0,0,2
1746869412.3243008,3,3,00:00:00:00:00:50,3,0,0,2
1746869412.3243008,3,2,00:00:00:00:00:41,3,0,0,2
1746869412.3243008,3,2,00:00:00:00:00:41,3,0,0,2
1746869412.3243008,3,2,00:00:00:00:00:09,2,0,0,2
1746869412.3243008,3,3,00:00:00:00:00:14,3,0,0,2
1746869412.3243008,3,4,00:00:00:00:00:59,2,0,0,2
1746869412.3243008,3,4,00:00:00:00:00:36,2,61,5250,2
