timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.2407484,12,15,00:00:00:00:00:4d,30,0,0,3999
1746869201.2407484,12,-,-,4294967293,91152,15557351,9
1746869259.2399762,12,-,-,4294967293,4471,517176,3
1746869281.822435,12,-,-,4294967293,22376,2572332,13
1746869301.56713,12,-,-,4294967293,39932,4618912,23
1746869311.7845309,12,-,-,4294967293,57161,6535483,33
1746869321.8159823,12,-,-,4294967293,74410,8492046,43
1746869331.7400525,12,4,00:00:00:00:00:2c,16,0,0,3
1746869331.7400525,12,-,-,4294967293,91399,10408214,53
1746869342.02997,12,4,00:00:00:00:00:2c,16,5,210,6
1746869342.02997,12,18,00:00:00:00:00:0f,6,3,294,3
1746869342.02997,12,5,00:00:00:00:00:11,8,3,126,1
1746869342.02997,12,27,00:00:00:00:00:0f,6,0,0,1
1746869342.02997,12,-,-,4294967293,109406,12422785,63
1746869352.2678208,12,5,00:00:00:00:00:11,23,7,294,7
1746869352.2678208,12,27,00:00:00:00:00:0f,6,6,252,4
1746869352.2678208,12,4,00:00:00:00:00:31,21,5,434,1
1746869352.2678208,12,4,00:00:00:00:00:2c,12,9,490,1
1746869352.2678208,12,16,00:00:00:00:00:0d,4,1,98,0
1746869352.2678208,12,15,00:00:00:00:00:0d,4,1,42,0
1746869352.2678208,12,21,00:00:00:00:00:0d,4,1,98,0
1746869352.2678208,12,25,00:00:00:00:00:2c,23,2,140,0
1746869352.2678208,12,18,00:00:00:00:00:0f,6,16,1400,0
1746869352.2678208,12,28,00:00:00:00:00:0d,4,1,42,0
1746869352.2678208,12,-,-,4294967293,127172,14438932,73
1746869362.8124967,12,27,00:00:00:00:00:0f,6,11,462,14
1746869362.8124967,12,4,00:00:00:00:00:2c,12,27,2086,11
1746869362.8124967,12,5,00:00:00:00:00:11,8,15,854,4
1746869362.8124967,12,4,00:00:00:00:00:31,21,22,1988,4
1746869362.8124967,12,15,00:00:00:00:00:0d,4,13,1106,2
1746869362.8124967,12,28,00:00:00:00:00:0d,4,13,1106,2
1746869362.8124967,12,21,00:00:00:00:00:0d,4,12,1120,0
1746869362.8124967,12,25,00:00:00:00:00:2c,16,15,1246,0
1746869362.8124967,12,16,00:00:00:00:00:0d,4,11,1078,0
1746869362.8124967,12,18,00:00:00:00:00:0f,6,29,2506,0
1746869362.8124967,12,8,00:00:00:00:00:0e,5,1,98,0
1746869362.8124967,12,32,00:00:00:00:00:50,33,0,0,0
1746869362.8124967,12,-,-,4294967293,145023,16393787,83
1746869373.6665788,12,27,00:00:00:00:00:0f,6,15,742,24
1746869373.6665788,12,4,00:00:00:00:00:2c,12,43,3486,21
1746869373.6665788,12,5,00:00:00:00:00:11,8,30,2268,14
1746869373.6665788,12,4,00:00:00:00:00:31,21,38,3332,8
1746869373.6665788,12,18,00:00:00:00:00:0f,6,42,3612,8
1746869373.6665788,12,27,00:00:00:00:00:13,10,4,168,5
1746869373.6665788,12,21,00:00:00:00:00:0d,4,22,2100,4
1746869373.6665788,12,9,00:00:00:00:00:13,10,10,868,3
1746869373.6665788,12,15,00:00:00:00:00:0d,4,24,2128,3
1746869373.6665788,12,4,00:00:00:00:00:2b,23,3,294,2
1746869373.6665788,12,25,00:00:00:00:00:2c,16,28,2352,1
1746869373.6665788,12,16,00:00:00:00:00:0d,4,21,2058,1
1746869373.6665788,12,6,00:00:00:00:00:4a,27,1,98,1
1746869373.6665788,12,11,00:00:00:00:00:2e,12,0,0,0
1746869373.6665788,12,6,00:00:00:00:00:2e,12,1,98,0
1746869373.6665788,12,8,00:00:00:00:00:0e,5,12,1120,0
1746869373.6665788,12,32,00:00:00:00:00:50,33,13,1106,0
1746869373.6665788,12,28,00:00:00:00:00:0d,4,27,2254,0
1746869373.6665788,12,20,00:00:00:00:00:0f,6,6,588,0
1746869373.6665788,12,-,-,4294967293,162703,18338086,93
1746869384.6338847,12,27,00:00:00:00:00:0f,6,30,2156,34
1746869384.6338847,12,4,00:00:00:00:00:2c,12,56,4424,31
1746869384.6338847,12,5,00:00:00:00:00:11,8,45,3738,25
1746869384.6338847,12,4,00:00:00:00:00:31,21,51,4550,18
1746869384.6338847,12,18,00:00:00:00:00:0f,6,56,4760,18
1746869384.6338847,12,20,00:00:00:00:00:32,22,0,0,9
1746869384.6338847,12,18,00:00:00:00:00:14,12,8,672,9
1746869384.6338847,12,11,00:00:00:00:00:2e,18,5,490,8
1746869384.6338847,12,27,00:00:00:00:00:13,1,13,826,6
1746869384.6338847,12,10,00:00:00:00:00:05,1,1,42,6
1746869384.6338847,12,25,00:00:00:00:00:2c,16,43,3542,5
1746869384.6338847,12,21,00:00:00:00:00:0d,4,32,3080,5
1746869384.6338847,12,16,00:00:00:00:00:0d,23,33,3066,5
1746869384.6338847,12,6,00:00:00:00:00:4a,27,12,1120,5
1746869384.6338847,12,17,00:00:00:00:00:56,12,2,196,4
1746869384.6338847,12,25,00:00:00:00:00:2b,15,7,574,4
1746869384.6338847,12,28,00:00:00:00:00:0d,4,40,3360,4
1746869384.6338847,12,15,00:00:00:00:00:0d,4,35,3150,4
1746869384.6338847,12,8,00:00:00:00:00:0e,5,22,2100,3
1746869384.6338847,12,5,00:00:00:00:00:4b,1,0,0,3
1746869384.6338847,12,32,00:00:00:00:00:50,33,26,2212,2
1746869384.6338847,12,25,00:00:00:00:00:23,23,4,280,1
1746869384.6338847,12,19,00:00:00:00:00:1f,23,0,0,1
1746869384.6338847,12,14,00:00:00:00:00:1f,1,0,0,1
1746869384.6338847,12,6,00:00:00:00:00:2e,18,13,1218,1
1746869384.6338847,12,11,00:00:00:00:00:0a,12,1,98,0
1746869384.6338847,12,10,00:00:00:00:00:4a,27,6,588,0
1746869384.6338847,12,9,00:00:00:00:00:13,10,24,2016,0
1746869384.6338847,12,27,00:00:00:00:00:3a,12,0,0,0
1746869384.6338847,12,4,00:00:00:00:00:32,22,3,294,0
1746869384.6338847,12,26,00:00:00:00:00:50,33,8,672,0
