timestamp,dpid,port_no,rx_packets,rx_bytes,rx_errors,tx_packets,tx_bytes,tx_errors
1746869201.2463036,4,1,25797,4357154,0,29504,4994462,0
1746869201.2463036,4,2,26225,4338616,0,29310,4999503,0
1746869201.2463036,4,3,26614,4462990,0,29187,4973292,0
1746869201.2463036,4,4,26453,4418821,0,29193,4964457,0
1746869201.2463036,4,4294967294,0,0,0,0,0,0
1746869260.283976,4,1,1542,178534,0,1769,206583,0
1746869260.283976,4,2,1582,181016,0,1760,206066,0
1746869260.283976,4,3,1565,180481,0,1760,206670,0
1746869260.283976,4,4,1570,180003,0,1766,206480,0
1746869260.283976,4,4294967294,0,0,0,0,0,0
1746869286.8281472,4,1,6515,750978,0,7461,849035,0
1746869286.8281472,4,2,6648,757761,0,7408,847390,0
1746869286.8281472,4,3,6588,756506,0,7412,845651,0
1746869286.8281472,4,4,6612,755717,0,7422,849439,0
1746869286.8281472,4,4294967294,0,0,0,0,0,0
1746869300.4904523,4,1,11617,1340835,0,13252,1535130,0
1746869300.4904523,4,2,11854,1355462,0,13173,1530589,0
1746869300.4904523,4,3,11681,1348365,0,13207,1531745,0
1746869300.4904523,4,4,11771,1350780,0,13194,1533558,0
1746869300.4904523,4,4294967294,0,0,0,0,0,0
1746869310.335576,4,1,16598,1923431,0,18913,2164155,0
1746869310.335576,4,2,16900,1939337,0,18792,2158260,0
1746869310.335576,4,3,16684,1930152,0,18861,2160999,0
1746869310.335576,4,4,16849,1938214,0,18840,2162046,0
1746869310.335576,4,4294967294,0,0,0,0,0,0
1746869320.3192432,4,1,21639,2499576,0,24499,2810871,0
1746869320.3192432,4,2,21941,2504782,0,24464,2815375,0
1746869320.3192432,4,3,21716,2497652,0,24567,2821676,0
1746869320.3192432,4,4,21917,2507108,0,24475,2815551,0
1746869320.3192432,4,4294967294,0,0,0,0,0,0
1746869329.8889558,4,1,26679,3066653,0,29846,3434210,0
1746869329.8889558,4,2,26878,3056305,0,30180,3480524,0
1746869329.8889558,4,3,26615,3065694,0,30158,3470263,0
1746869329.8889558,4,4,26883,3068096,0,29934,3448780,0
1746869329.8889558,4,4294967294,0,0,0,0,0,0
1746869340.6942775,4,1,31935,3669117,0,35474,4067641,0
1746869340.6942775,4,2,31951,3620733,0,36040,4143908,0
1746869340.6942775,4,3,31699,3635945,0,36006,4132974,0
1746869340.6942775,4,4,32013,3640882,0,35633,4093304,0
1746869340.6942775,4,4294967294,0,0,0,0,0,0
1746869350.9887977,4,1,37061,4254696,0,41032,4711587,0
1746869350.9887977,4,2,36954,4176353,0,41804,4816150,0
1746869350.9887977,4,3,36747,4201836,0,41654,4782898,0
1746869350.9887977,4,4,37106,4198827,0,41250,4742744,0
1746869350.9887977,4,4294967294,0,0,0,0,0,0
1746869361.560534,4,1,42163,4834900,0,46658,5332664,0
1746869361.560534,4,2,41963,4730051,0,47564,5456449,0
1746869361.560534,4,3,41774,4767794,0,47390,5419622,0
1746869361.560534,4,4,42245,4769036,0,46942,5371752,0
1746869361.560534,4,4294967294,0,0,0,0,0,0
1746869371.9418762,4,1,47191,5421166,0,52112,5943072,0
1746869371.9418762,4,2,46811,5277476,0,53170,6091773,0
1746869371.9418762,4,3,46696,5320512,0,53005,6050115,0
1746869371.9418762,4,4,47261,5329902,0,52440,5998071,0
1746869371.9418762,4,4294967294,0,0,0,0,0,0
1746869382.7644024,4,1,52144,5976030,0,57467,6542454,0
1746869382.7644024,4,2,51667,5808328,0,58680,6711873,0
1746869382.7644024,4,3,51571,5861705,0,58474,6665926,0
1746869382.7644024,4,4,52099,5863019,0,57869,6612813,0
1746869382.7644024,4,4294967294,0,0,0,0,0,0
1746869393.0665371,4,1,56968,6519041,0,62635,7112319,0
1746869393.0665371,4,2,56434,6327603,0,64126,7321743,0
1746869393.0665371,4,3,56401,6391110,0,63801,7261914,0
1746869393.0665371,4,4,56883,6390390,0,63011,7187557,0
1746869393.0665371,4,4294967294,0,0,0,0,0,0
1746869404.63998,4,1,61792,7054871,0,67858,7709099,0
1746869404.63998,4,2,61131,6839696,0,69443,7934266,0
1746869404.63998,4,3,61172,6907421,0,69091,7870004,0
1746869404.63998,4,4,61632,6909124,0,68258,7789596,0
1746869404.63998,4,4294967294,0,0,0,0,0,0
1746869414.6953995,4,1,66411,7568480,0,72819,8248388,0
1746869414.6953995,4,2,65603,7321215,0,74462,8483555,0
1746869414.6953995,4,3,65802,7412904,0,74186,8426576,0
1746869414.6953995,4,4,66296,7414831,0,73354,8346865,0
1746869414.6953995,4,4294967294,0,0,0,0,0,0
1746869425.7570672,4,1,70995,8071499,0,77682,8783758,0
1746869425.7570672,4,2,70002,7790310,0,79600,9056782,0
1746869425.7570672,4,3,70348,7897187,0,79144,8977108,0
1746869425.7570672,4,4,70909,7905461,0,78282,8894092,0
1746869425.7570672,4,4294967294,0,0,0,0,0,0
1746869435.8207965,4,1,75432,8572943,0,82375,9295608,0
1746869435.8207965,4,2,74446,8266666,0,84542,9597426,0
1746869435.8207965,4,3,74773,8384701,0,83973,9506736,0
1746869435.8207965,4,4,75276,8391796,0,83097,9418553,0
1746869435.8207965,4,4294967294,0,0,0,0,0,0
1746869446.0443056,4,1,79757,9043080,0,87072,9807851,0
1746869446.0443056,4,2,78918,8736093,0,89510,10143583,0
1746869446.0443056,4,3,79246,8858351,0,88711,10027967,0
1746869446.0443056,4,4,79631,8847064,0,87818,9936649,0
1746869446.0443056,4,4294967294,0,0,0,0,0,0
1746869455.9022043,4,1,84116,9518021,0,91711,10303858,0
1746869455.9022043,4,2,83267,9192564,0,94386,10665496,0
1746869455.9022043,4,3,83671,9333050,0,93454,10540873,0
1746869455.9022043,4,4,84037,9312812,0,92527,10442414,0
1746869455.9022043,4,4294967294,0,0,0,0,0,0
1746869465.9954274,4,1,88455,9993275,0,96322,10816774,0
1746869465.9954274,4,2,87668,9657354,0,99197,11207439,0
1746869465.9954274,4,3,87986,9794816,0,98256,11076531,0
1746869465.9954274,4,4,88488,9778979,0,97310,10972775,0
1746869465.9954274,4,4294967294,0,0,0,0,0,0
1746869475.9307745,4,1,92851,10474291,0,101034,11315904,0
1746869475.9307745,4,2,92075,10119354,0,103989,11719585,0
1746869475.9307745,4,3,92426,10267567,0,102986,11581214,0
1746869475.9307745,4,4,92997,10245851,0,101995,11474403,0
1746869475.9307745,4,4294967294,0,0,0,0,0,0
1746869484.3660455,4,1,97147,10950567,0,105590,11801373,0
1746869484.3660455,4,2,96363,10568367,0,108738,12232793,0
1746869484.3660455,4,3,96737,10722092,0,107620,12077257,0
1746869484.3660455,4,4,97456,10714779,0,106621,11972608,0
1746869484.3660455,4,4294967294,0,0,0,0,0,0
1746869492.7650645,4,1,101477,11419234,0,110139,12289960,0
1746869492.7650645,4,2,100695,11024647,0,113454,12738123,0
1746869492.7650645,4,3,101069,11190336,0,112443,12591649,0
1746869492.7650645,4,4,101879,11186231,0,111306,12477173,0
1746869492.7650645,4,4294967294,0,0,0,0,0,0
1746869507.7987401,4,1,105998,11902923,0,114933,12795867,0
1746869507.7987401,4,2,105272,11495539,0,844570,43773693,0
1746869507.7987401,4,3,831687,42160125,0,117477,13123135,0
1746869507.7987401,4,4,106593,11674132,0,116161,12999076,0
1746869507.7987401,4,4294967294,0,0,0,0,0,0
1746869554.0484986,4,1,1773880,175409072,0,120044,13348796,0
1746869554.0484986,4,2,110340,12017773,0,2712947,122613465,0
1746869554.0484986,4,3,2699615,120929090,0,122885,13710624,0
1746869554.0484986,4,4,111644,12201456,0,1784325,176534156,0
1746869554.0484986,4,4294967294,0,0,0,0,0,0
1746869576.5265763,4,1,3363706,331255364,0,180887,19354425,0
1746869576.5265763,4,2,115294,12526262,0,4375826,192809723,0
1746869576.5265763,4,3,4417599,196498761,0,128270,14282091,0
1746869576.5265763,4,4,116483,12706510,0,3374479,332417027,0
1746869576.5265763,4,4294967294,0,0,0,0,0,0
1746869595.5376499,4,1,4639952,456365528,0,514272,52060106,0
1746869595.5376499,4,2,120228,13023376,0,5094062,226482564,0
1746869595.5376499,4,3,5463527,262269007,0,133685,14852388,0
1746869595.5376499,4,4,121223,13189181,0,4650956,457554010,0
1746869595.5376499,4,4294967294,0,0,0,0,0,0
1746869623.9698346,4,1,5412839,532132269,0,659526,66322952,0
1746869623.9698346,4,2,123173,13318704,0,5421636,241248043,0
1746869623.9698346,4,3,5932713,290881800,0,137131,15220295,0
1746869623.9698346,4,4,124314,13497518,0,5423992,533344400,0
1746869623.9698346,4,4294967294,0,0,0,0,0,0
1746869880.3671021,4,1,2316,264016,0,2623,286095,0
1746869880.3671021,4,2,2371,268063,0,2604,284143,0
1746869880.3671021,4,3,2417,268039,0,2608,284934,0
1746869880.3671021,4,4,2395,270369,0,2593,282356,0
1746869880.3671021,4,4294967294,0,0,0,0,0,0
1746869907.924167,4,1,7348,802114,0,8316,929917,0
1746869907.924167,4,2,7411,806220,0,8272,926612,0
1746869907.924167,4,3,7565,808644,0,8207,923300,0
1746869907.924167,4,4,7529,810760,0,8227,922328,0
1746869907.924167,4,4294967294,0,0,0,0,0,0
1746869917.6555383,4,1,12376,1386963,0,13980,1514064,0
1746869917.6555383,4,2,12455,1393769,0,13933,1510677,0
1746869917.6555383,4,3,12912,1412406,0,13873,1507658,0
1746869917.6555383,4,4,12649,1402548,0,13852,1504626,0
1746869917.6555383,4,4294967294,0,0,0,0,0,0
1746869926.3650231,4,1,17155,1928274,0,19374,2073865,0
1746869926.3650231,4,2,17244,1934829,0,19319,2071400,0
1746869926.3650231,4,3,17835,1971036,0,19218,2069195,0
1746869926.3650231,4,4,17608,1959796,0,19221,2065389,0
1746869926.3650231,4,4294967294,0,0,0,0,0,0
1746869936.8820379,4,1,22184,2449694,0,25007,2723694,0
1746869936.8820379,4,2,22303,2456673,0,25023,2726919,0
1746869936.8820379,4,3,22918,2493522,0,24778,2716951,0
1746869936.8820379,4,4,22753,2489922,0,24896,2722810,0
1746869936.8820379,4,4294967294,0,0,0,0,0,0
1746869948.2377331,4,1,27414,2983386,0,30580,3361420,0
1746869948.2377331,4,2,27450,2972770,0,30956,3406372,0
1746869948.2377331,4,3,28078,3015901,0,30469,3371275,0
1746869948.2377331,4,4,27958,3015098,0,30688,3392516,0
1746869948.2377331,4,4294967294,0,0,0,0,0,0
1746869959.2458808,4,1,32604,3525941,0,36180,3947620,0
1746869959.2458808,4,2,32442,3495569,0,36693,4007060,0
1746869959.2458808,4,3,33316,3557382,0,36095,3959901,0
1746869959.2458808,4,4,33113,3562891,0,36379,3987289,0
1746869959.2458808,4,4294967294,0,0,0,0,0,0
1746869968.5520928,4,1,37866,4129714,0,41739,4517390,0
1746869968.5520928,4,2,37337,4048583,0,42395,4595217,0
1746869968.5520928,4,3,38526,4123468,0,41689,4532845,0
1746869968.5520928,4,4,38131,4122384,0,41995,4563647,0
1746869968.5520928,4,4294967294,0,0,0,0,0,0
1746869978.3711467,4,1,42833,4684121,0,47035,5052209,0
1746869978.3711467,4,2,42078,4568043,0,47897,5153540,0
1746869978.3711467,4,3,43485,4646357,0,47055,5076856,0
1746869978.3711467,4,4,43041,4651067,0,47443,5112667,0
1746869978.3711467,4,4294967294,0,0,0,0,0,0
1746869988.7957077,4,1,47889,5207163,0,52480,5641044,0
1746869988.7957077,4,2,46924,5061079,0,53651,5772336,0
1746869988.7957077,4,3,48517,5152702,0,52530,5674096,0
1746869988.7957077,4,4,48105,5159135,0,53169,5728065,0
1746869988.7957077,4,4294967294,0,0,0,0,0,0
1746869999.9378088,4,1,52865,5712171,0,57802,6230604,0
1746869999.9378088,4,2,51761,5543712,0,59329,6403170,0
1746869999.9378088,4,3,53454,5638679,0,57884,6277782,0
1746869999.9378088,4,4,52994,5644796,0,58759,6351977,0
1746869999.9378088,4,4294967294,0,0,0,0,0,0
1746870010.9399815,4,1,57803,6217035,0,63078,6774959,0
1746870010.9399815,4,2,56533,6022624,0,64820,6974153,0
1746870010.9399815,4,3,58330,6122030,0,63286,6844255,0
1746870010.9399815,4,4,57712,6115201,0,64200,6924509,0
1746870010.9399815,4,4294967294,0,0,0,0,0,0
1746870021.2864761,4,1,62760,6764702,0,68319,7300237,0
1746870021.2864761,4,2,61202,6524489,0,70246,7519992,0
1746870021.2864761,4,3,63349,6642470,0,68591,7380018,0
1746870021.2864761,4,4,62494,6631734,0,69531,7461801,0
1746870021.2864761,4,4294967294,0,0,0,0,0,0
1746870030.3872957,4,1,67484,7288072,0,73389,7801505,0
1746870030.3872957,4,2,65723,7015099,0,75469,8038681,0
1746870030.3872957,4,3,68184,7150053,0,73796,7900640,0
1746870030.3872957,4,4,67281,7141564,0,74803,7989748,0
1746870030.3872957,4,4294967294,0,0,0,0,0,0
1746870041.5645359,4,1,72203,7772374,0,78398,8305279,0
1746870041.5645359,4,2,70252,7464708,0,80635,8560754,0
1746870041.5645359,4,3,72895,7613439,0,78921,8419560,0
1746870041.5645359,4,4,71995,7607090,0,79978,8511995,0
1746870041.5645359,4,4294967294,0,0,0,0,0,0
1746870053.0589921,4,1,76905,8238803,0,83380,8839812,0
1746870053.0589921,4,2,74803,7907170,0,85803,9119931,0
1746870053.0589921,4,3,77487,8064011,0,83936,8969148,0
1746870053.0589921,4,4,76544,8053309,0,85136,9070189,0
1746870053.0589921,4,4294967294,0,0,0,0,0,0
1746870063.3319483,4,1,81393,8689636,0,88168,9344283,0
1746870063.3319483,4,2,79268,8345167,0,90853,9658981,0
1746870063.3319483,4,3,81905,8499335,0,88669,9478943,0
1746870063.3319483,4,4,80968,8482923,0,90081,9599009,0
1746870063.3319483,4,4294967294,0,0,0,0,0,0
1746870072.9262,4,1,85838,9131245,0,92898,9806048,0
1746870072.9262,4,2,83642,8776388,0,95829,10152933,0
1746870072.9262,4,3,86410,8934090,0,93453,9954339,0
1746870072.9262,4,4,85484,8925608,0,94950,10082459,0
1746870072.9262,4,4294967294,0,0,0,0,0,0
1746870081.461067,4,1,90434,9612047,0,97729,10280508,0
1746870081.461067,4,2,88105,9238261,0,100897,10651913,0
1746870081.461067,4,3,91160,9414237,0,98347,10435292,0
1746870081.461067,4,4,89991,9388752,0,99926,10571986,0
1746870081.461067,4,4294967294,0,0,0,0,0,0
1746870090.1626399,4,1,94802,10076989,0,102397,10737153,0
1746870090.1626399,4,2,92360,9678190,0,105784,11132549,0
1746870090.1626399,4,3,95616,9868283,0,103078,10900595,0
1746870090.1626399,4,4,94306,9836587,0,104724,11047600,0
1746870090.1626399,4,4294967294,0,0,0,0,0,0
1746870103.4385674,4,1,99492,10544828,0,726418,71888038,0
1746870103.4385674,4,2,716067,70803140,0,111011,11647012,0
1746870103.4385674,4,3,100429,10332993,0,108100,11394591,0
1746870103.4385674,4,4,99141,10303429,0,109862,11548604,0
1746870103.4385674,4,4294967294,0,0,0,0,0,0
1746871235.2049701,4,1,3493,378212,0,3963,425348,0
1746871235.2049701,4,2,3530,381159,0,3932,423070,0
1746871235.2049701,4,3,3548,381276,0,3945,424693,0
1746871235.2049701,4,4,3546,380923,0,3949,424162,0
1746871235.2049701,4,4294967294,0,0,0,0,0,0
1746871259.7965822,4,1,8749,946242,0,10006,1073900,0
1746871259.7965822,4,2,8800,950723,0,9967,1070978,0
1746871259.7965822,4,3,8797,950016,0,9940,1069701,0
1746871259.7965822,4,4,8808,951483,0,9926,1068130,0
1746871259.7965822,4,4294967294,0,0,0,0,0,0
1746871269.478408,4,1,13711,1465133,0,15745,1661358,0
1746871269.478408,4,2,13769,1469998,0,15698,1655485,0
1746871269.478408,4,3,13793,1471629,0,15675,1653670,0
1746871269.478408,4,4,13815,1473415,0,15658,1654052,0
1746871269.478408,4,4294967294,0,0,0,0,0,0
1746871279.2066672,4,1,18872,2023124,0,21681,2289911,0
1746871279.2066672,4,2,18951,2028574,0,21624,2282927,0
1746871279.2066672,4,3,18973,2031378,0,21596,2281831,0
1746871279.2066672,4,4,18978,2029090,0,21605,2283063,0
1746871279.2066672,4,4294967294,0,0,0,0,0,0
1746871289.34905,4,1,24069,2594823,0,27746,2968441,0
1746871289.34905,4,2,24173,2596860,0,27661,2964148,0
1746871289.34905,4,3,24222,2602665,0,27614,2959061,0
1746871289.34905,4,4,24226,2600792,0,27668,2963689,0
1746871289.34905,4,4294967294,0,0,0,0,0,0
1746871300.598107,4,1,29009,3067051,0,33778,3597533,0
1746871300.598107,4,2,29115,3067193,0,33585,3582164,0
1746871300.598107,4,3,29252,3084268,0,33479,3569229,0
1746871300.598107,4,4,29320,3092325,0,33520,3572353,0
1746871300.598107,4,4294967294,0,0,0,0,0,0
1746871311.0459607,4,1,33959,3635972,0,39696,4247965,0
1746871311.0459607,4,2,34126,3635969,0,39420,4227468,0
1746871311.0459607,4,3,34228,3644666,0,39328,4213673,0
1746871311.0459607,4,4,34428,3657576,0,39263,4208447,0
1746871311.0459607,4,4294967294,0,0,0,0,0,0
1746871729.1733823,4,1,5106,708981,0,5762,824196,0
1746871729.1733823,4,2,5153,713384,0,5725,824583,0
1746871729.1733823,4,3,5223,710145,0,5757,830762,0
1746871729.1733823,4,4,5181,711902,0,5743,826879,0
1746871729.1733823,4,4294967294,0,0,0,0,0,0
1746871742.570546,4,1,10298,1454114,0,11638,1655069,0
1746871742.570546,4,2,10522,1485538,0,11597,1652045,0
1746871742.570546,4,3,10522,1449221,0,11549,1654981,0
1746871742.570546,4,4,10386,1452441,0,11563,1651294,0
1746871742.570546,4,4294967294,0,0,0,0,0,0
1746871751.3627622,4,1,15515,2272683,0,17535,2380636,0
1746871751.3627622,4,2,15944,2328209,0,17406,2366760,0
1746871751.3627622,4,3,15839,2270908,0,17413,2380544,0
1746871751.3627622,4,4,15719,2278038,0,17468,2378802,0
1746871751.3627622,4,4294967294,0,0,0,0,0,0
1746871761.7776434,4,1,20603,2957803,0,23428,3203869,0
1746871761.7776434,4,2,21191,3015145,0,23180,3171197,0
1746871761.7776434,4,3,21163,2976555,0,23099,3182581,0
1746871761.7776434,4,4,20863,2955306,0,23208,3179639,0
1746871761.7776434,4,4294967294,0,0,0,0,0,0
1746871774.3354144,4,1,25604,3572957,0,29301,4102600,0
1746871774.3354144,4,2,26317,3637058,0,28874,4049218,0
1746871774.3354144,4,3,26434,3607187,0,28684,4042218,0
1746871774.3354144,4,4,25837,3554804,0,28955,4070902,0
1746871774.3354144,4,4294967294,0,0,0,0,0,0
1746871784.5336666,4,1,30277,4170422,0,34755,4801523,0
1746871784.5336666,4,2,31069,4251493,0,34325,4752869,0
1746871784.5336666,4,3,31426,4225197,0,33958,4721878,0
1746871784.5336666,4,4,30624,4162662,0,34357,4768278,0
1746871784.5336666,4,4294967294,0,0,0,0,0,0
1746871792.9969244,4,1,35371,4958555,0,40578,5500487,0
1746871792.9969244,4,2,36232,5040589,0,40061,5445415,0
1746871792.9969244,4,3,36679,5025848,0,39681,5418392,0
1746871792.9969244,4,4,35695,4933041,0,40241,5480965,0
1746871792.9969244,4,4294967294,0,0,0,0,0,0
1746871803.0974917,4,1,40300,5599564,0,46338,6205526,0
1746871803.0974917,4,2,41323,5684404,0,45700,6137788,0
1746871803.0974917,4,3,41953,5691376,0,45185,6099411,0
1746871803.0974917,4,4,40686,5556340,0,45899,6179117,0
1746871803.0974917,4,4294967294,0,0,0,0,0,0
1746871815.8657155,4,1,45175,6182354,0,52036,7072125,0
1746871815.8657155,4,2,46321,6268498,0,51328,6994109,0
1746871815.8657155,4,3,47019,6282773,0,50560,6924226,0
1746871815.8657155,4,4,45627,6140174,0,51376,7011777,0
1746871815.8657155,4,4294967294,0,0,0,0,0,0
1746871826.974953,4,1,49960,6765538,0,57616,7780109,0
1746871826.974953,4,2,51175,6845873,0,56818,7702811,0
1746871826.974953,4,3,52030,6867270,0,55874,7610188,0
1746871826.974953,4,4,50413,6708283,0,56822,7716120,0
1746871826.974953,4,4294967294,0,0,0,0,0,0
1746871836.119532,4,1,54621,7431963,0,63082,8413566,0
1746871836.119532,4,2,55944,7505763,0,62166,8327258,0
1746871836.119532,4,3,56923,7529523,0,61166,8230713,0
1746871836.119532,4,4,55154,7359523,0,62217,8346266,0
1746871836.119532,4,4294967294,0,0,0,0,0,0
1746871845.8581746,4,1,59230,8047522,0,68429,9040832,0
1746871845.8581746,4,2,60651,8111126,0,67485,8953365,0
1746871845.8581746,4,3,61913,8182756,0,66419,8854691,0
1746871845.8581746,4,4,59866,7967491,0,67518,8968972,0
1746871845.8581746,4,4294967294,0,0,0,0,0,0
1746871857.745109,4,1,63762,8567796,0,73648,9685010,0
1746871857.745109,4,2,65386,8636699,0,72683,9602891,0
1746871857.745109,4,3,66696,8707650,0,71400,9483095,0
1746871857.745109,4,4,64469,8475050,0,72775,9626747,0
1746871857.745109,4,4294967294,0,0,0,0,0,0
1746871869.2893054,4,1,68248,9105348,0,78809,10409451,0
1746871869.2893054,4,2,69943,9170203,0,77792,10321393,0
1746871869.2893054,4,3,71454,9257907,0,76335,10177543,0
1746871869.2893054,4,4,69064,9012642,0,77818,10339295,0
1746871869.2893054,4,4294967294,0,0,0,0,0,0
1746871879.57277,4,1,72589,9623150,0,83931,10979530,0
1746871879.57277,4,2,74439,9689934,0,82810,10887808,0
1746871879.57277,4,3,76069,9786914,0,81204,10724659,0
1746871879.57277,4,4,73582,9531941,0,82794,10898979,0
1746871879.57277,4,4294967294,0,0,0,0,0,0
1746871888.2330525,4,1,76812,10201833,0,88887,11546597,0
1746871888.2330525,4,2,78839,10280016,0,87705,11449276,0
