timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.246237,4,-,-,4294967293,105052,17572981,9
1746869260.2831283,4,-,-,4294967293,5228,605193,3
1746869286.8271701,4,-,-,4294967293,25305,2899948,13
1746869300.489582,4,-,-,4294967293,46837,5384806,23
1746869310.334697,4,-,-,4294967293,66965,7723111,33
1746869320.3182309,4,-,-,4294967293,87081,9993184,43
1746869329.8807003,4,-,-,4294967293,106825,12230939,53
1746869340.6933784,4,-,-,4294967293,127484,14553092,63
1746869350.9877548,4,2,00:00:00:00:00:23,3,0,0,1
1746869350.9877548,4,-,-,4294967293,147817,16825647,73
1746869361.5596652,4,2,00:00:00:00:00:23,4,0,0,9
1746869361.5596652,4,-,-,4294967293,168037,19089794,83
1746869371.9407105,4,2,00:00:00:00:00:23,4,0,0,19
1746869371.9407105,4,2,00:00:00:00:00:42,3,0,0,8
1746869371.9407105,4,2,00:00:00:00:00:3e,4,0,0,2
1746869371.9407105,4,-,-,4294967293,187866,21338872,93
1746869382.7630723,4,2,00:00:00:00:00:23,4,0,0,29
1746869382.7630723,4,2,00:00:00:00:00:42,3,0,0,18
1746869382.7630723,4,2,00:00:00:00:00:3e,4,0,0,12
1746869382.7630723,4,4,00:00:00:00:00:33,3,0,0,4
1746869382.7630723,4,3,00:00:00:00:00:2c,3,0,0,4
1746869382.7630723,4,4,00:00:00:00:00:52,4,0,0,0
1746869382.7630723,4,4,00:00:00:00:00:52,4,0,0,0
1746869382.7630723,4,3,00:00:00:00:00:11,3,0,0,0
1746869382.7630723,4,4,00:00:00:00:00:34,4,20,1568,0
1746869382.7630723,4,-,-,4294967293,207366,23496969,103
1746869393.06504,4,2,00:00:00:00:00:23,4,0,0,39
1746869393.06504,4,2,00:00:00:00:00:42,3,0,0,28
1746869393.06504,4,2,00:00:00:00:00:3e,4,0,0,22
1746869393.06504,4,4,00:00:00:00:00:33,3,0,0,14
1746869393.06504,4,3,00:00:00:00:00:2c,3,0,0,14
1746869393.06504,4,3,00:00:00:00:00:11,3,0,0,10
1746869393.06504,4,4,00:00:00:00:00:52,4,0,0,7
1746869393.06504,4,4,00:00:00:00:00:52,4,0,0,7
1746869393.06504,4,2,00:00:00:00:00:3d,2,0,0,5
1746869393.06504,4,4,00:00:00:00:00:5a,4,0,0,5
1746869393.06504,4,4,00:00:00:00:00:39,1,0,0,2
1746869393.06504,4,2,00:00:00:00:00:3f,3,0,0,2
1746869393.06504,4,4,00:00:00:00:00:34,2,36,2744,0
1746869393.06504,4,-,-,4294967293,226575,25616463,113
1746869404.6389012,4,2,00:00:00:00:00:23,4,0,0,49
1746869404.6389012,4,2,00:00:00:00:00:42,3,0,0,38
1746869404.6389012,4,2,00:00:00:00:00:3e,4,0,0,32
1746869404.6389012,4,4,00:00:00:00:00:33,3,0,0,24
1746869404.6389012,4,3,00:00:00:00:00:2c,3,0,0,24
1746869404.6389012,4,3,00:00:00:00:00:11,3,0,0,20
1746869404.6389012,4,4,00:00:00:00:00:52,4,0,0,17
1746869404.6389012,4,4,00:00:00:00:00:52,4,0,0,17
1746869404.6389012,4,2,00:00:00:00:00:3d,2,0,0,15
1746869404.6389012,4,4,00:00:00:00:00:5a,4,0,0,15
1746869404.6389012,4,4,00:00:00:00:00:39,1,0,0,12
1746869404.6389012,4,2,00:00:00:00:00:3f,3,0,0,12
1746869404.6389012,4,3,00:00:00:00:00:2b,3,0,0,4
1746869404.6389012,4,4,00:00:00:00:00:36,3,0,0,4
1746869404.6389012,4,4,00:00:00:00:00:34,2,42,3108,3
1746869404.6389012,4,-,-,4294967293,245617,27699285,123
1746869414.6860845,4,2,00:00:00:00:00:23,4,0,0,59
1746869414.6860845,4,2,00:00:00:00:00:42,3,0,0,48
1746869414.6860845,4,2,00:00:00:00:00:3e,4,0,0,42
1746869414.6860845,4,4,00:00:00:00:00:33,3,0,0,34
1746869414.6860845,4,3,00:00:00:00:00:2c,3,0,0,34
1746869414.6860845,4,3,00:00:00:00:00:11,3,0,0,30
1746869414.6860845,4,4,00:00:00:00:00:52,4,0,0,27
1746869414.6860845,4,4,00:00:00:00:00:52,4,0,0,27
1746869414.6860845,4,2,00:00:00:00:00:3d,2,0,0,25
1746869414.6860845,4,4,00:00:00:00:00:5a,4,0,0,25
1746869414.6860845,4,4,00:00:00:00:00:39,1,0,0,22
1746869414.6860845,4,2,00:00:00:00:00:3f,3,0,0,22
1746869414.6860845,4,4,00:00:00:00:00:34,2,42,3108,13
1746869414.6860845,4,3,00:00:00:00:00:0d,2,0,0,9
1746869414.6860845,4,3,00:00:00:00:00:0d,3,0,0,8
1746869414.6860845,4,2,00:00:00:00:00:09,2,0,0,7
1746869414.6860845,4,3,00:00:00:00:00:13,4,0,0,7
1746869414.6860845,4,3,00:00:00:00:00:2b,3,0,0,7
1746869414.6860845,4,4,00:00:00:00:00:1b,1,0,0,6
1746869414.6860845,4,4,00:00:00:00:00:23,3,1,98,5
1746869414.6860845,4,4,00:00:00:00:00:36,2,0,0,2
1746869414.6860845,4,4,00:00:00:00:00:05,4,0,0,2
1746869414.6860845,4,3,00:00:00:00:00:23,2,0,0,2
1746869414.6860845,4,2,00:00:00:00:00:57,4,0,0,1
1746869414.6860845,4,4,00:00:00:00:00:05,1,0,0,1
1746869414.6860845,4,4,00:00:00:00:00:51,2,0,0,1
1746869414.6860845,4,2,00:00:00:00:00:21,2,0,0,1
1746869414.6860845,4,2,00:00:00:00:00:34,4,1,98,1
1746869414.6860845,4,4,00:00:00:00:00:43,1,0,0,0
1746869414.6860845,4,3,00:00:00:00:00:57,4,0,0,0
1746869414.6860845,4,4,00:00:00:00:00:17,1,0,0,0
1746869414.6860845,4,2,00:00:00:00:00:53,3,0,0,0
1746869414.6860845,4,4,00:00:00:00:00:0a,3,1,98,0
1746869414.6860845,4,2,00:00:00:00:00:14,2,0,0,0
1746869414.6860845,4,2,00:00:00:00:00:14,2,0,0,0
