timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869383.5452118,13,17,00:00:00:00:00:16,3,13,1050,14
1746869383.5452118,13,28,00:00:00:00:00:52,25,47,3990,13
1746869383.5452118,13,7,00:00:00:00:00:52,25,46,3948,11
1746869383.5452118,13,4,00:00:00:00:00:1b,8,9,378,10
1746869383.5452118,13,15,00:00:00:00:00:39,19,39,3486,9
1746869383.5452118,13,15,00:00:00:00:00:27,1,1,42,8
1746869383.5452118,13,3,00:00:00:00:00:1b,8,39,3262,7
1746869383.5452118,13,14,00:00:00:00:00:1b,8,32,2912,5
1746869383.5452118,13,3,00:00:00:00:00:37,17,23,2198,5
1746869383.5452118,13,2,00:00:00:00:00:52,25,39,3318,5
1746869383.5452118,13,8,00:00:00:00:00:17,1,5,490,4
1746869383.5452118,13,25,00:00:00:00:00:15,2,0,0,4
1746869383.5452118,13,25,00:00:00:00:00:05,1,3,294,3
1746869383.5452118,13,19,00:00:00:00:00:18,5,17,1498,3
1746869383.5452118,13,25,00:00:00:00:00:1a,7,10,924,3
1746869383.5452118,13,25,00:00:00:00:00:55,28,10,980,3
1746869383.5452118,13,23,00:00:00:00:00:23,23,0,0,2
1746869383.5452118,13,8,00:00:00:00:00:16,1,6,420,2
1746869383.5452118,13,9,00:00:00:00:00:34,23,2,196,2
1746869383.5452118,13,31,00:00:00:00:00:51,24,5,210,1
1746869383.5452118,13,10,00:00:00:00:00:23,1,4,280,1
1746869383.5452118,13,16,00:00:00:00:00:39,19,0,0,1
1746869383.5452118,13,19,00:00:00:00:00:35,15,2,196,1
1746869383.5452118,13,4,00:00:00:00:00:23,23,4,280,0
1746869383.5452118,13,19,00:00:00:00:00:36,12,18,1596,0
1746869383.5452118,13,20,00:00:00:00:00:05,12,5,490,0
1746869383.5452118,13,19,00:00:00:00:00:1f,1,0,0,0
1746869383.5452118,13,25,00:00:00:00:00:3c,22,14,1204,0
1746869383.5452118,13,30,00:00:00:00:00:1b,8,22,1988,0
1746869383.5452118,13,11,00:00:00:00:00:17,1,0,0,0
1746869383.5452118,13,4,00:00:00:00:00:05,12,3,294,0
1746869383.5452118,13,32,00:00:00:00:00:0a,1,3,294,0
1746869383.5452118,13,5,00:00:00:00:00:59,32,27,2310,0
1746869383.5452118,13,9,00:00:00:00:00:36,12,72,6944,0
1746869383.5452118,13,3,00:00:00:00:00:0a,1,0,0,0
1746869383.5452118,13,33,00:00:00:00:00:1a,7,15,1414,0
1746869383.5452118,13,-,-,4294967293,181537,20368792,103
1746869394.2307568,13,13,00:00:00:00:00:55,28,10,700,45
1746869394.2307568,13,8,00:00:00:00:00:34,23,80,6272,45
1746869394.2307568,13,8,00:00:00:00:00:57,30,58,5068,32
1746869394.2307568,13,22,00:00:00:00:00:52,25,45,3458,31
1746869394.2307568,13,16,00:00:00:00:00:1c,9,126,11732,29
1746869394.2307568,13,5,00:00:00:00:00:39,19,57,5082,28
1746869394.2307568,13,7,00:00:00:00:00:5a,33,32,2688,26
1746869394.2307568,13,28,00:00:00:00:00:33,12,53,5026,25
1746869394.2307568,13,17,00:00:00:00:00:16,3,26,2324,24
1746869394.2307568,13,28,00:00:00:00:00:52,25,58,5012,23
1746869394.2307568,13,7,00:00:00:00:00:52,25,56,4928,21
1746869394.2307568,13,15,00:00:00:00:00:39,19,52,4592,19
1746869394.2307568,13,15,00:00:00:00:00:27,1,5,210,18
