timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.2446153,1,-,-,4294967293,88934,15079094,9
1746869259.101636,1,-,-,4294967293,4373,507505,3
1746869281.726918,1,-,-,4294967293,21423,2468617,13
1746869298.2775648,1,-,-,4294967293,39570,4590521,23
1746869308.7340221,1,-,-,4294967293,56520,6486728,33
1746869318.369228,1,-,-,4294967293,73552,8439940,43
1746869327.8879538,1,-,-,4294967293,89877,10302236,53
1746869338.6652787,1,-,-,4294967293,107177,12258827,63
1746869349.0002213,1,-,-,4294967293,124203,14240725,73
1746869359.8041818,1,-,-,4294967293,141316,16137868,83
1746869370.554976,1,-,-,4294967293,157987,18006505,93
1746869381.2450197,1,-,-,4294967293,174360,19846530,103
1746869391.8687108,1,1,00:00:00:00:00:42,1,0,0,4
1746869391.8687108,1,2,00:00:00:00:00:33,3,5,490,0
1746869391.8687108,1,-,-,4294967293,190236,21589132,113
1746869402.3368382,1,1,00:00:00:00:00:42,1,0,0,14
1746869402.3368382,1,2,00:00:00:00:00:39,3,0,0,4
1746869402.3368382,1,2,00:00:00:00:00:39,3,0,0,3
1746869402.3368382,1,2,00:00:00:00:00:33,1,9,882,3
1746869402.3368382,1,3,00:00:00:00:00:33,1,0,0,0
1746869402.3368382,1,-,-,4294967293,206020,23380418,123
1746869413.0800965,1,1,00:00:00:00:00:42,1,0,0,24
1746869413.0800965,1,2,00:00:00:00:00:39,3,0,0,14
1746869413.0800965,1,2,00:00:00:00:00:39,3,0,0,13
1746869413.0800965,1,3,00:00:00:00:00:33,1,0,0,10
1746869413.0800965,1,1,00:00:00:00:00:3d,2,0,0,8
1746869413.0800965,1,1,00:00:00:00:00:33,2,0,0,5
1746869413.0800965,1,2,00:00:00:00:00:33,1,9,882,4
1746869413.0800965,1,3,00:00:00:00:00:34,3,0,0,0
1746869413.0800965,1,3,00:00:00:00:00:3f,2,0,0,0
1746869413.0800965,1,2,00:00:00:00:00:36,2,0,0,0
1746869413.0800965,1,-,-,4294967293,221211,25025537,133
1746869423.6587172,1,1,00:00:00:00:00:42,1,0,0,34
1746869423.6587172,1,2,00:00:00:00:00:39,3,0,0,24
1746869423.6587172,1,2,00:00:00:00:00:39,3,0,0,23
1746869423.6587172,1,3,00:00:00:00:00:33,1,0,0,20
1746869423.6587172,1,1,00:00:00:00:00:3d,2,0,0,18
1746869423.6587172,1,1,00:00:00:00:00:33,2,0,0,15
1746869423.6587172,1,2,00:00:00:00:00:33,1,9,882,14
1746869423.6587172,1,3,00:00:00:00:00:34,3,0,0,10
1746869423.6587172,1,3,00:00:00:00:00:3f,2,0,0,10
1746869423.6587172,1,3,00:00:00:00:00:39,2,0,0,6
1746869423.6587172,1,2,00:00:00:00:00:36,3,0,0,4
1746869423.6587172,1,1,00:00:00:00:00:37,2,0,0,4
1746869423.6587172,1,2,00:00:00:00:00:2e,3,0,0,1
1746869423.6587172,1,2,00:00:00:00:00:2e,3,0,0,0
1746869423.6587172,1,-,-,4294967293,236115,26662332,143
1746869434.213162,1,1,00:00:00:00:00:42,1,0,0,44
1746869434.213162,1,2,00:00:00:00:00:39,3,0,0,34
1746869434.213162,1,2,00:00:00:00:00:39,3,0,0,33
1746869434.213162,1,3,00:00:00:00:00:33,1,0,0,30
1746869434.213162,1,1,00:00:00:00:00:3d,2,0,0,28
1746869434.213162,1,1,00:00:00:00:00:33,2,0,0,25
1746869434.213162,1,2,00:00:00:00:00:33,1,9,882,24
1746869434.213162,1,3,00:00:00:00:00:34,3,0,0,20
1746869434.213162,1,3,00:00:00:00:00:3f,2,0,0,20
1746869434.213162,1,3,00:00:00:00:00:39,2,0,0,16
1746869434.213162,1,2,00:00:00:00:00:36,3,0,0,14
1746869434.213162,1,1,00:00:00:00:00:37,2,0,0,14
1746869434.213162,1,2,00:00:00:00:00:2e,3,0,0,11
1746869434.213162,1,2,00:00:00:00:00:2e,3,0,0,10
1746869434.213162,1,2,00:00:00:00:00:57,1,0,0,4
1746869434.213162,1,3,00:00:00:00:00:56,2,0,0,2
1746869434.213162,1,1,00:00:00:00:00:01,2,0,0,1
1746869434.213162,1,2,00:00:00:00:00:16,1,0,0,0
1746869434.213162,1,2,00:00:00:00:00:0a,1,0,0,0
1746869434.213162,1,2,00:00:00:00:00:3f,2,0,0,0
1746869434.213162,1,-,-,4294967293,250590,28237063,153
1746869444.1833212,1,1,00:00:00:00:00:42,1,0,0,54
1746869444.1833212,1,2,00:00:00:00:00:39,3,0,0,44
1746869444.1833212,1,2,00:00:00:00:00:39,3,0,0,43
1746869444.1833212,1,3,00:00:00:00:00:33,1,0,0,40
1746869444.1833212,1,1,00:00:00:00:00:3d,2,0,0,38
1746869444.1833212,1,1,00:00:00:00:00:33,2,0,0,35
1746869444.1833212,1,2,00:00:00:00:00:33,1,9,882,34
1746869444.1833212,1,3,00:00:00:00:00:34,3,0,0,30
1746869444.1833212,1,3,00:00:00:00:00:3f,2,0,0,30
1746869444.1833212,1,3,00:00:00:00:00:39,2,0,0,26
1746869444.1833212,1,1,00:00:00:00:00:37,2,0,0,24
1746869444.1833212,1,2,00:00:00:00:00:2e,3,0,0,21
1746869444.1833212,1,2,00:00:00:00:00:2e,3,0,0,20
1746869444.1833212,1,2,00:00:00:00:00:57,1,0,0,14
1746869444.1833212,1,3,00:00:00:00:00:56,2,0,0,12
1746869444.1833212,1,1,00:00:00:00:00:01,2,0,0,11
1746869444.1833212,1,2,00:00:00:00:00:16,1,0,0,10
1746869444.1833212,1,3,00:00:00:00:00:57,2,0,0,9
1746869444.1833212,1,3,00:00:00:00:00:1b,2,0,0,9
1746869444.1833212,1,1,00:00:00:00:00:4b,1,0,0,9
1746869444.1833212,1,1,00:00:00:00:00:36,1,0,0,8
1746869444.1833212,1,1,00:00:00:00:00:23,3,0,0,7
1746869444.1833212,1,1,00:00:00:00:00:16,3,0,0,7
1746869444.1833212,1,1,00:00:00:00:00:4b,2,0,0,7
1746869444.1833212,1,2,00:00:00:00:00:14,1,0,0,7
1746869444.1833212,1,2,00:00:00:00:00:4b,1,0,0,7
1746869444.1833212,1,2,00:00:00:00:00:0a,1,0,0,7
1746869444.1833212,1,1,00:00:00:00:00:23,2,0,0,5
1746869444.1833212,1,1,00:00:00:00:00:59,2,0,0,5
1746869444.1833212,1,2,00:00:00:00:00:36,1,0,0,5
1746869444.1833212,1,2,00:00:00:00:00:0a,2,0,0,4
1746869444.1833212,1,3,00:00:00:00:00:05,1,0,0,3
1746869444.1833212,1,1,00:00:00:00:00:3d,3,0,0,3
1746869444.1833212,1,2,00:00:00:00:00:59,1,0,0,2
1746869444.1833212,1,3,00:00:00:00:00:0f,1,0,0,2
1746869444.1833212,1,1,00:00:00:00:00:55,3,0,0,2
1746869444.1833212,1,1,00:00:00:00:00:0a,2,0,0,2
1746869444.1833212,1,2,00:00:00:00:00:56,2,0,0,1
1746869444.1833212,1,2,00:00:00:00:00:36,2,0,0,1
1746869444.1833212,1,3,00:00:00:00:00:4b,1,0,0,0
1746869444.1833212,1,2,00:00:00:00:00:3f,3,0,0,0
1746869444.1833212,1,3,00:00:00:00:00:4b,2,0,0,0
1746869444.1833212,1,1,00:00:00:00:00:21,3,0,0,0
1746869444.1833212,1,3,00:00:00:00:00:1a,1,0,0,0
1746869444.1833212,1,-,-,4294967293,264995,29806970,163
1746869454.184332,1,1,00:00:00:00:00:42,1,0,0,64
1746869454.184332,1,2,00:00:00:00:00:39,3,0,0,54
1746869454.184332,1,2,00:00:00:00:00:39,3,0,0,53
1746869454.184332,1,3,00:00:00:00:00:33,1,0,0,50
1746869454.184332,1,1,00:00:00:00:00:3d,2,0,0,48
1746869454.184332,1,1,00:00:00:00:00:33,2,0,0,45
1746869454.184332,1,2,00:00:00:00:00:33,1,9,882,44
1746869454.184332,1,3,00:00:00:00:00:34,3,0,0,40
1746869454.184332,1,3,00:00:00:00:00:3f,2,0,0,40
1746869454.184332,1,3,00:00:00:00:00:39,2,0,0,36
1746869454.184332,1,1,00:00:00:00:00:37,2,0,0,34
1746869454.184332,1,2,00:00:00:00:00:2e,3,0,0,31
1746869454.184332,1,2,00:00:00:00:00:2e,3,0,0,30
1746869454.184332,1,2,00:00:00:00:00:57,1,0,0,24
1746869454.184332,1,3,00:00:00:00:00:56,2,0,0,22
1746869454.184332,1,1,00:00:00:00:00:01,2,0,0,21
1746869454.184332,1,2,00:00:00:00:00:16,1,0,0,20
1746869454.184332,1,3,00:00:00:00:00:57,2,0,0,19
1746869454.184332,1,3,00:00:00:00:00:1b,2,0,0,19
1746869454.184332,1,1,00:00:00:00:00:4b,1,0,0,19
1746869454.184332,1,1,00:00:00:00:00:36,1,0,0,18
1746869454.184332,1,1,00:00:00:00:00:23,3,0,0,17
1746869454.184332,1,1,00:00:00:00:00:16,3,0,0,17
1746869454.184332,1,1,00:00:00:00:00:4b,2,0,0,17
1746869454.184332,1,2,00:00:00:00:00:14,1,0,0,17
1746869454.184332,1,2,00:00:00:00:00:4b,1,0,0,17
1746869454.184332,1,2,00:00:00:00:00:0a,1,0,0,17
1746869454.184332,1,1,00:00:00:00:00:59,2,0,0,15
1746869454.184332,1,2,00:00:00:00:00:36,1,0,0,15
1746869454.184332,1,2,00:00:00:00:00:0a,2,0,0,14
1746869454.184332,1,3,00:00:00:00:00:05,1,0,0,13
1746869454.184332,1,1,00:00:00:00:00:3d,3,0,0,13
1746869454.184332,1,2,00:00:00:00:00:59,1,0,0,12
1746869454.184332,1,3,00:00:00:00:00:0f,1,0,0,12
1746869454.184332,1,1,00:00:00:00:00:55,3,0,0,12
1746869454.184332,1,1,00:00:00:00:00:0a,2,0,0,12
1746869454.184332,1,2,00:00:00:00:00:56,2,0,0,11
1746869454.184332,1,2,00:00:00:00:00:36,2,0,0,11
1746869454.184332,1,3,00:00:00:00:00:4b,1,0,0,11
1746869454.184332,1,2,00:00:00:00:00:3f,3,0,0,10
1746869454.184332,1,3,00:00:00:00:00:4b,2,0,0,10
1746869454.184332,1,1,00:00:00:00:00:21,3,0,0,10
1746869454.184332,1,3,00:00:00:00:00:1a,1,0,0,10
1746869454.184332,1,2,00:00:00:00:00:4a,3,0,0,9
1746869454.184332,1,2,00:00:00:00:00:3a,2,0,0,9
1746869454.184332,1,3,00:00:00:00:00:0a,1,0,0,9
1746869454.184332,1,2,00:00:00:00:00:3a,3,0,0,7
1746869454.184332,1,3,00:00:00:00:00:50,2,0,0,7
1746869454.184332,1,3,00:00:00:00:00:1f,1,0,0,7
1746869454.184332,1,3,00:00:00:00:00:0d,3,0,0,7
1746869454.184332,1,2,00:00:00:00:00:59,1,0,0,7
1746869454.184332,1,3,00:00:00:00:00:43,3,0,0,6
1746869454.184332,1,1,00:00:00:00:00:0a,3,0,0,6
1746869454.184332,1,1,00:00:00:00:00:43,3,0,0,3
1746869454.184332,1,3,00:00:00:00:00:3a,2,0,0,2
1746869454.184332,1,2,00:00:00:00:00:25,1,0,0,2
1746869454.184332,1,2,00:00:00:00:00:33,3,0,0,2
1746869454.184332,1,3,00:00:00:00:00:3e,1,0,0,2
1746869454.184332,1,1,00:00:00:00:00:41,2,0,0,1
1746869454.184332,1,2,00:00:00:00:00:28,2,0,0,1
1746869454.184332,1,1,00:00:00:00:00:23,1,0,0,1
1746869454.184332,1,3,00:00:00:00:00:0f,2,0,0,0
1746869454.184332,1,1,00:00:00:00:00:2b,2,0,0,0
1746869454.184332,1,1,00:00:00:00:00:02,1,5,434,0
1746869454.184332,1,1,00:00:00:00:00:23,2,0,0,0
1746869454.184332,1,-,-,4294967293,279118,31332852,173
1746869464.5540938,1,1,00:00:00:00:00:42,1,0,0,74
1746869464.5540938,1,2,00:00:00:00:00:39,3,0,0,64
1746869464.5540938,1,2,00:00:00:00:00:39,3,0,0,63
1746869464.5540938,1,3,00:00:00:00:00:33,1,0,0,60
1746869464.5540938,1,1,00:00:00:00:00:3d,2,0,0,58
