timestamp,dpid,table_id,active_count,lookup_count,matched_count
1746869201.246377,4,0,1,105053,105052
1746869201.246377,4,1,0,0,0
1746869201.246377,4,2,0,0,0
1746869201.246377,4,3,0,0,0
1746869201.246377,4,4,0,0,0
1746869201.246377,4,5,0,0,0
1746869201.246377,4,6,0,0,0
1746869201.246377,4,7,0,0,0
1746869201.246377,4,8,0,0,0
1746869201.246377,4,9,0,0,0
1746869201.246377,4,10,0,0,0
1746869201.246377,4,11,0,0,0
1746869201.246377,4,12,0,0,0
1746869201.246377,4,13,0,0,0
1746869201.246377,4,14,0,0,0
1746869201.246377,4,15,0,0,0
1746869201.246377,4,16,0,0,0
1746869201.246377,4,17,0,0,0
1746869201.246377,4,18,0,0,0
1746869201.246377,4,19,0,0,0
1746869201.246377,4,20,0,0,0
1746869201.246377,4,21,0,0,0
1746869201.246377,4,22,0,0,0
1746869201.246377,4,23,0,0,0
1746869201.246377,4,24,0,0,0
1746869201.246377,4,25,0,0,0
1746869201.246377,4,26,0,0,0
1746869201.246377,4,27,0,0,0
1746869201.246377,4,28,0,0,0
1746869201.246377,4,29,0,0,0
1746869201.246377,4,30,0,0,0
1746869201.246377,4,31,0,0,0
1746869201.246377,4,32,0,0,0
1746869201.246377,4,33,0,0,0
1746869201.246377,4,34,0,0,0
1746869201.246377,4,35,0,0,0
1746869201.246377,4,36,0,0,0
1746869201.246377,4,37,0,0,0
1746869201.246377,4,38,0,0,0
1746869201.246377,4,39,0,0,0
1746869201.246377,4,40,0,0,0
1746869201.246377,4,41,0,0,0
1746869201.246377,4,42,0,0,0
1746869201.246377,4,43,0,0,0
1746869201.246377,4,44,0,0,0
1746869201.246377,4,45,0,0,0
1746869201.246377,4,46,0,0,0
1746869201.246377,4,47,0,0,0
1746869201.246377,4,48,0,0,0
1746869201.246377,4,49,0,0,0
1746869201.246377,4,50,0,0,0
1746869201.246377,4,51,0,0,0
1746869201.246377,4,52,0,0,0
1746869201.246377,4,53,0,0,0
1746869201.246377,4,54,0,0,0
1746869201.246377,4,55,0,0,0
1746869201.246377,4,56,0,0,0
1746869201.246377,4,57,0,0,0
1746869201.246377,4,58,0,0,0
1746869201.246377,4,59,0,0,0
1746869201.246377,4,60,0,0,0
1746869201.246377,4,61,0,0,0
1746869201.246377,4,62,0,0,0
1746869201.246377,4,63,0,0,0
1746869201.246377,4,64,0,0,0
1746869201.246377,4,65,0,0,0
1746869201.246377,4,66,0,0,0
1746869201.246377,4,67,0,0,0
1746869201.246377,4,68,0,0,0
1746869201.246377,4,69,0,0,0
1746869201.246377,4,70,0,0,0
1746869201.246377,4,71,0,0,0
1746869201.246377,4,72,0,0,0
1746869201.246377,4,73,0,0,0
1746869201.246377,4,74,0,0,0
1746869201.246377,4,75,0,0,0
1746869201.246377,4,76,0,0,0
1746869201.246377,4,77,0,0,0
1746869201.246377,4,78,0,0,0
1746869201.246377,4,79,0,0,0
1746869201.246377,4,80,0,0,0
1746869201.246377,4,81,0,0,0
1746869201.246377,4,82,0,0,0
1746869201.246377,4,83,0,0,0
1746869201.246377,4,84,0,0,0
1746869201.246377,4,85,0,0,0
