timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.2454028,11,33,00:00:00:00:00:24,18,0,0,4004
1746869201.2454028,11,27,00:00:00:00:00:02,3,1,42,4002
1746869201.2454028,11,30,00:00:00:00:00:05,1,0,0,3999
1746869201.2454028,11,-,-,4294967293,92267,15716406,9
1746869259.3226857,11,-,-,4294967293,4518,519462,3
1746869282.6317406,11,-,-,4294967293,22088,2531128,13
1746869298.5034192,11,-,-,4294967293,40708,4688426,23
1746869309.0893755,11,-,-,4294967293,58442,6650820,33
1746869318.9096465,11,-,-,4294967293,76438,8672815,43
1746869328.422172,11,17,00:00:00:00:00:02,3,5,434,3
1746869328.422172,11,3,00:00:00:00:00:23,17,12,1008,3
1746869328.422172,11,5,00:00:00:00:00:0a,11,1,42,1
1746869328.422172,11,24,00:00:00:00:00:42,29,5,210,0
1746869328.422172,11,-,-,4294967293,93757,10620075,53
1746869338.9180121,11,4,00:00:00:00:00:23,17,3,126,6
1746869338.9180121,11,5,00:00:00:00:00:0a,11,5,210,6
1746869338.9180121,11,24,00:00:00:00:00:42,23,24,1736,3
1746869338.9180121,11,17,00:00:00:00:00:02,3,25,2226,1
1746869338.9180121,11,3,00:00:00:00:00:23,17,23,2030,1
1746869338.9180121,11,25,00:00:00:00:00:3d,24,12,1008,0
1746869338.9180121,11,29,00:00:00:00:00:3d,24,10,980,0
1746869338.9180121,11,33,00:00:00:00:00:3e,1,2,140,0
1746869338.9180121,11,-,-,4294967293,111999,12654790,63
1746869348.880812,11,17,00:00:00:00:00:02,3,35,3206,11
1746869348.880812,11,3,00:00:00:00:00:23,17,33,3010,11
1746869348.880812,11,5,00:00:00:00:00:0a,11,10,420,8
1746869348.880812,11,2,00:00:00:00:00:3e,25,2,84,5
1746869348.880812,11,24,00:00:00:00:00:42,29,36,2800,4
1746869348.880812,11,24,00:00:00:00:00:3e,25,6,476,2
1746869348.880812,11,25,00:00:00:00:00:3d,24,26,2156,2
1746869348.880812,11,4,00:00:00:00:00:23,17,5,210,2
1746869348.880812,11,33,00:00:00:00:00:3e,25,16,1288,1
1746869348.880812,11,29,00:00:00:00:00:3d,12,21,2002,0
1746869348.880812,11,-,-,4294967293,130070,14722139,73
1746869359.7629936,11,17,00:00:00:00:00:02,3,45,4186,21
1746869359.7629936,11,3,00:00:00:00:00:23,17,43,3990,21
1746869359.7629936,11,5,00:00:00:00:00:0a,11,21,1218,18
1746869359.7629936,11,24,00:00:00:00:00:42,29,38,2884,14
1746869359.7629936,11,25,00:00:00:00:00:3d,1,36,3136,9
1746869359.7629936,11,4,00:00:00:00:00:23,17,18,1316,8
1746869359.7629936,11,17,00:00:00:00:00:03,4,8,728,7
1746869359.7629936,11,29,00:00:00:00:00:3d,12,33,3066,6
1746869359.7629936,11,2,00:00:00:00:00:3e,25,10,700,3
1746869359.7629936,11,11,00:00:00:00:00:04,1,11,910,3
1746869359.7629936,11,19,00:00:00:00:00:3f,26,0,0,2
1746869359.7629936,11,25,00:00:00:00:00:01,2,3,294,1
1746869359.7629936,11,26,00:00:00:00:00:3d,1,8,728,1
1746869359.7629936,11,31,00:00:00:00:00:3f,26,6,588,1
1746869359.7629936,11,33,00:00:00:00:00:3e,25,29,2394,1
1746869359.7629936,11,28,00:00:00:00:00:01,2,0,0,0
1746869359.7629936,11,2,00:00:00:00:00:46,1,4,392,0
1746869359.7629936,11,24,00:00:00:00:00:3e,25,7,574,0
1746869359.7629936,11,-,-,4294967293,148225,16695780,83
1746869370.5290983,11,17,00:00:00:00:00:02,3,56,5208,31
1746869370.5290983,11,3,00:00:00:00:00:23,17,54,5012,31
