timestamp,dpid,mfr_desc,hw_desc,sw_desc,serial_num,dp_desc
1746871794.4837985,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871805.8314757,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871814.3872468,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871824.0757906,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871836.0162632,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871848.0418038,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871858.3081455,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871867.2773454,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871877.9412792,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871889.327445,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871900.9281638,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871909.4622598,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746871916.497571,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872227.1379764,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872249.2842984,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872264.9051268,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872275.424777,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872285.6565573,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872295.4047024,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872927.631291,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872948.334849,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746872959.3978157,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885828.4356625,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885851.1213825,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885873.1475103,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885883.6562386,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885893.8919947,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885903.8070297,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885914.3272593,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
1746885924.129647,1,"b'Nicira, Inc.'",b'Open vSwitch',b'2.17.9',b'None',b's1'
